ID,date_cer,kwh
2518,33501,1.027217215
2518,33502,1.027217215
2518,33503,1.021681013
2518,33504,1.01614481
2518,33505,1.027217215
2518,33506,1.021681013
2518,33507,1.026713924
2518,33508,1.021681013
2518,33509,1.032753418
2518,33510,1.027217215
2518,33511,1.027217215
2518,33512,1.032753418
2518,33513,1.032250127
2518,33514,1.03828962
2518,33515,1.032753418
2518,33516,1.330701772
2518,33517,1.540574177
2518,33518,1.552149873
2518,33519,1.540574177
2518,33520,1.551646582
2518,33521,1.551646582
2518,33522,1.546613671
2518,33523,1.551646582
2518,33524,1.54611038
2518,33525,1.551646582
2518,33526,1.56825519
2518,33527,1.535541266
2518,33528,1.579327595
2518,33529,1.557182785
2518,33530,1.540574177
2518,33531,1.562718987
2518,33532,1.54611038
2518,33533,1.56825519
2518,33534,1.739877468
2518,33535,1.72276557
2518,33536,1.711693165
2518,33537,1.706660253
2518,33538,1.706156962
2518,33539,1.755982785
2518,33540,1.966358481
2518,33541,1.971391392
2518,33542,1.971391392
2518,33543,1.976927595
2518,33544,1.982463797
2518,33545,1.988
2518,33546,1.512893165
2518,33547,1.132405063
2518,33548,1.120829367
2518,33601,0.869317405
2518,33602,0.866793987
2518,33603,0.866541646
2518,33604,0.860990127
2518,33605,0.869569747
2518,33606,0.860990127
2518,33607,0.866541646
2518,33608,0.866793987
2518,33609,0.863765886
2518,33610,0.863765886
2518,33611,0.872093165
2518,33612,0.861242468
2518,33613,0.863765886
2518,33614,0.861242468
2518,33615,0.863765886
2518,33616,0.860990127
2518,33617,0.866793987
2518,33618,0.866541646
2518,33619,0.860990127
2518,33620,0.866793987
2518,33621,0.866541646
2518,33622,0.866541646
2518,33623,0.875121266
2518,33624,0.874616582
2518,33625,0.875121266
2518,33626,0.869317405
2518,33627,0.869317405
2518,33628,0.872345506
2518,33629,0.869317405
2518,33630,1.567042405
2518,33631,1.644511329
2518,33632,1.644763671
2518,33633,1.636436392
2518,33634,1.627856772
2518,33635,1.722232595
2518,33636,1.686147722
2518,33637,1.730559873
2518,33638,2.132035633
2518,33639,2.142886329
2518,33640,2.145662089
2518,33641,2.021257595
2518,33642,1.94076057
2518,33643,1.869095506
2518,33644,1.688923481
2518,33645,1.317981076
2518,33646,1.118378734
2518,33647,1.126958354
2518,33648,1.115855316
2518,33701,1.120000506
2518,33702,1.122772785
2518,33703,1.119748481
2518,33704,1.120000506
2518,33705,1.120000506
2518,33706,1.120000506
2518,33707,1.114455949
2518,33708,1.116976203
2518,33709,1.117228228
2518,33710,1.117228228
2518,33711,1.114455949
2518,33712,1.208209367
2518,33713,1.598344557
2518,33714,1.601116835
2518,33715,1.587255443
2518,33716,1.601116835
2518,33717,1.598344557
2518,33718,1.352367848
2518,33719,0.931737595
2518,33720,0.943078734
2518,33721,0.926445063
2518,33722,0.942574684
2518,33723,0.940306456
2518,33724,0.943078734
2518,33725,0.94005443
2518,33726,0.945851013
2518,33727,0.937534177
2518,33728,0.94005443
2518,33729,0.940306456
2518,33730,0.940306456
2518,33731,0.94005443
2518,33732,0.926445063
2518,33733,0.94005443
2518,33734,0.928965316
2518,33735,0.915607975
2518,33736,0.918128228
2518,33737,0.898470253
2518,33738,0.918128228
2518,33739,0.920900506
2518,33740,0.923420759
2518,33741,0.93198962
2518,33742,0.929217342
2518,33743,0.937282152
2518,33744,0.923672785
2518,33745,0.835211899
2518,33746,0.76036038
2518,33747,0.630567342
2518,33748,0.625022785
2518,33801,0.619692722
2518,33802,0.619944937
2518,33803,0.625493671
2518,33804,0.614143987
2518,33805,0.628268038
2518,33806,0.625493671
2518,33807,0.622467089
2518,33808,0.61717057
2518,33809,0.625745886
2518,33810,0.622467089
2518,33811,0.625493671
2518,33812,0.619944937
2518,33813,0.625241456
2518,33814,0.628268038
2518,33815,0.614396203
2518,33816,0.628015823
2518,33817,0.622719304
2518,33818,0.622719304
2518,33819,0.619692722
2518,33820,0.620197152
2518,33821,0.589426899
2518,33822,0.583625949
2518,33823,0.589679114
2518,33824,0.586652532
2518,33825,0.581103797
2518,33826,0.589426899
2518,33827,0.589679114
2518,33828,0.580851582
2518,33829,0.589679114
2518,33830,0.586652532
2518,33831,0.589426899
2518,33832,0.583878165
2518,33833,0.589426899
2518,33834,0.581103797
2518,33835,0.586652532
2518,33836,0.578581646
2518,33837,0.578077215
2518,33838,0.58413038
2518,33839,0.575555063
2518,33840,0.586652532
2518,33841,0.581103797
2518,33842,0.581356013
2518,33843,0.586400316
2518,33844,0.581356013
2518,33845,0.591949051
2518,33846,0.581356013
2518,33847,0.581103797
2518,33848,0.581356013
2518,33901,0.583040127
2518,33902,0.580772468
2518,33903,0.588835253
2518,33904,0.577748924
