ID,allocation,,,Allocation code,Allocation interpretation,Count in file
1000,1,,,1,Bi-monthly bill,257
1001,3,,,2,Monthly bill,248
1002,4,,,3,Bi-monthly bill + IHD,263
1003,C,,,4,Bi-monthly bill + IHD + tariff,265
1004,C,,,C,Control,543
1005,1,,,,,1576
1006,3,,,,,
1007,4,,,,,
1008,C,,,,,
1009,C,,,,,
1010,3,,,,,
1011,2,,,,,
1012,1,,,,,
1013,4,,,,,
1014,1,,,,,
1015,2,,,,,
1016,3,,,,,
1017,4,,,,,
1018,C,,,,,
1019,C,,,,,
1020,C,,,,,
1021,1,,,,,
1022,2,,,,,
1023,3,,,,,
1024,4,,,,,
1025,C,,,,,
1026,C,,,,,
1027,1,,,,,
1028,2,,,,,
1029,4,,,,,
1030,C,,,,,
1031,C,,,,,
1032,1,,,,,
1033,2,,,,,
1034,3,,,,,
1035,4,,,,,
1036,C,,,,,
1037,C,,,,,
1038,2,,,,,
1039,3,,,,,
1040,4,,,,,
1041,C,,,,,
1042,C,,,,,
1043,1,,,,,
1044,2,,,,,
1045,4,,,,,
1046,C,,,,,
1047,C,,,,,
1048,1,,,,,
1049,2,,,,,
1050,4,,,,,
1051,C,,,,,
1052,C,,,,,
1053,1,,,,,
1054,3,,,,,
1055,4,,,,,
1056,C,,,,,
1057,C,,,,,
1058,1,,,,,
1059,2,,,,,
1060,3,,,,,
1061,4,,,,,
1062,C,,,,,
1063,C,,,,,
1064,C,,,,,
1065,1,,,,,
1066,2,,,,,
1067,3,,,,,
1068,4,,,,,
1069,C,,,,,
1070,C,,,,,
1071,1,,,,,
1072,3,,,,,
1073,4,,,,,
1074,C,,,,,
1075,C,,,,,
1076,1,,,,,
1077,3,,,,,
1078,C,,,,,
1079,4,,,,,
1080,1,,,,,
1081,2,,,,,
1082,2,,,,,
1083,4,,,,,
1084,C,,,,,
1085,C,,,,,
1086,1,,,,,
1087,3,,,,,
1088,4,,,,,
1089,C,,,,,
1090,C,,,,,
1091,1,,,,,
1092,1,,,,,
1093,4,,,,,
1094,C,,,,,
1095,C,,,,,
1096,1,,,,,
1097,4,,,,,
1098,C,,,,,
1099,1,,,,,
1100,3,,,,,
1101,3,,,,,
1102,C,,,,,
1103,C,,,,,
1104,1,,,,,
1105,2,,,,,
1106,4,,,,,
1107,4,,,,,
1108,C,,,,,
1109,C,,,,,
1110,1,,,,,
1111,2,,,,,
1112,2,,,,,
1113,4,,,,,
1114,C,,,,,
1115,C,,,,,
1116,1,,,,,
1117,2,,,,,
1118,4,,,,,
1119,C,,,,,
1120,C,,,,,
1121,3,,,,,
1122,3,,,,,
1123,4,,,,,
1124,1,,,,,
1125,2,,,,,
1126,3,,,,,
1127,3,,,,,
1128,C,,,,,
1129,2,,,,,
1130,C,,,,,
1131,C,,,,,
1132,C,,,,,
1133,C,,,,,
1134,1,,,,,
1135,4,,,,,
1136,C,,,,,
1137,C,,,,,
1138,1,,,,,
1139,2,,,,,
1140,1,,,,,
1141,3,,,,,
1142,C,,,,,
1143,C,,,,,
1144,4,,,,,
1145,2,,,,,
1146,3,,,,,
1147,4,,,,,
1148,C,,,,,
