ID,tariff,stimulus,kwh_2009_08,kwh_2009_09,kwh_2009_10,kwh_2009_11,kwh_2009_12,kwh_2010_01,kwh_2010_02,kwh_2010_03,kwh_2010_04,kwh_2010_05,kwh_2010_06,kwh_2010_07,kwh_2010_08,kwh_2010_09,D_410_2,D_410_3,D_420_2.0,D_420_3.0,D_420_4.0,D_420_5.0,D_420_6.0,D_420_7.0,D_43111_2.0,D_43111_3.0,D_43111_4.0,D_43111_5.0,D_43111_6.0,D_405_2,D_43521_2.0,D_43521_3.0,D_43521_4.0,D_43521_5.0,D_43521_6.0,D_43521_7.0,D_470.1_1,D_470.2_1,D_470.3_1,D_470.4_1,D_470.5_1,D_470.6_1,D_4701.1_1,D_4701.2_1,D_4701.3_1,D_4701.4_1,D_4701.5_1,D_4701.6_1,D_4701.7_1,D_4701.8_1,D_470.7_1,D_5414_2,D_5414_3,D_5418_2,D_5418_3,D_5418_4,D_5418_5,D_5418_6
1002,E,E,114.75449999999985,151.6499999999999,148.3370000000001,193.36399999999972,177.59399999999962,187.7004999999997,154.6390000000003,154.53950000000015,121.50150000000004,158.50050000000024,159.6654999999997,170.31050000000016,171.82500000000005,126.76149999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1018,E,E,955.1689999999986,553.3494999999988,667.4484999999999,619.1914999999998,626.1540000000008,731.7694999999999,526.8724999999998,607.2870000000005,636.0740000000001,624.277000000001,709.2379999999993,841.4799999999997,1015.907,673.5049999999992,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1020,B,4,424.2209999999997,448.3389999999997,444.5795000000007,451.1220000000001,582.3304999999998,573.1684999999994,461.7180000000001,464.0614999999996,454.7165000000003,413.69850000000076,422.72799999999984,394.88950000000006,506.97299999999984,482.2779999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1022,E,E,283.19799999999975,275.66700000000003,270.7599999999996,281.39800000000014,195.32950000000042,149.85649999999984,242.8725000000001,251.96449999999973,245.40699999999993,224.4570000000003,272.8555,305.26249999999976,305.64050000000026,263.59049999999957,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1027,E,E,155.27899999999985,143.855,158.01549999999975,170.00900000000001,216.32600000000042,198.80550000000056,157.83800000000014,172.57900000000018,145.6289999999997,145.46049999999985,98.67349999999972,124.32499999999986,139.56049999999982,174.7044999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1036,E,E,163.15300000000005,193.42150000000046,236.56299999999942,254.2429999999998,298.9824999999997,575.651,567.5854999999996,404.39500000000083,193.5314999999994,168.53999999999976,136.50499999999994,159.3444999999999,172.95999999999992,195.43499999999986,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1042,B,4,419.4844999999997,524.7569999999994,626.6499999999999,556.4725000000009,481.52700000000124,444.5599999999995,328.6650000000005,348.55800000000056,494.47299999999984,493.39499999999987,391.46699999999987,229.91199999999984,444.02250000000015,475.61399999999963,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1058,E,E,259.3245000000003,203.0630000000003,249.75199999999973,233.02899999999963,339.9144999999998,360.62700000000063,301.54849999999936,279.4555000000004,245.0660000000006,291.1419999999997,212.93300000000005,242.87450000000007,247.34999999999988,233.2965000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1059,E,E,606.2724999999995,582.4280000000008,639.9315000000005,645.9284999999999,834.2369999999988,825.0650000000016,655.4635000000002,615.7415000000002,592.7080000000005,546.5845000000013,505.3094999999996,626.2030000000002,617.7000000000005,601.4754999999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1060,E,E,134.7524999999996,191.11299999999974,249.80800000000053,284.9830000000005,377.81199999999967,380.5040000000001,285.7510000000001,297.8725000000005,252.15049999999968,161.34050000000025,142.3684999999998,145.83949999999996,144.39749999999952,145.0709999999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
